AAT 阿尔泰
AKA 安康
AKU 阿克苏
AOG 鞍山
AQG 安庆
BAV 包头
BFU 蚌埠
BHY 北海
BJS 北京
BSD 保山
CAN 广州
CGO 郑州
CGQ 长春
CSX 长沙
CTU 成都
CZX 常州
DLC 大连
DLU 大理
ENY 延安
FOC 福州
FYN 富蕴
HAK 海口
HFE 合肥
HGH 杭州
HLD 海拉尔
HTN 和田
HUZ 惠州
HYN 黄岩
HZG 汉中
INC 银州
IQM 且末
JGN 嘉谷关
JHG 景洪
JIL 吉林
JIU 九江
JMU 佳木斯
JNZ 锦州
KCA 库车
KMG 昆明
KOW 赣州
KRL 库尔勒
KRY 克拉玛依
KWL 桂林
LXA 拉萨
LYA 洛阳
LYG 连云港
LZH 柳州
LZO 卢州
MDG 牡丹
NAO 南昌
NAY 北京
NDG 齐齐哈尔
NEH 恩施
NKG 南京
NNG 南宁
NNY 南阳
PEK 北京
SHE 沈阳
SHP 秦皇岛
SHS 沙市
SIA 西安
SWA 汕头
SYX 三亚
SZV 苏州
SZX 深圳
TAO 青岛
TNA 济南
TNH 通化
TSN 天津
TXN 屯溪
TYN 太原
URC 乌鲁木齐
WEF 维坊
WEH 威海
WHU 芜湖
WNZ 温州
WUH 武汉
WUS 武夷山
WUX 无锡
WUZ 悟州
XFN 襄阳
XIY 西安
XNN 西宁
XNT 刑台
XUZ 徐州
YCU 运城
YIN 伊宁
YNT 烟台
ZAT 昭通
ZHA 湛江
ZUH 珠海
BGF 班吉
ARC 阿里卡
ARI 阿里卡
CCP 康塞纯
CPO 科皮亚波
ESR 萨尔瓦多
IQQ 伊基克
SCL 圣地亚哥
ZAL 瓦尔迪维亚
ZCO 特木科
GIB 直布罗陀
AEH 阿贝歇
FBM 庐本巴希
FIH 金沙沙
FKI 基桑加尼
KND 金松
MDK 姆班达喀尔
BMV 邦美蜀
DIN 奠边府
HAN 河内
HPH 海防
NHA 芽庄
PXU 百里居
SGN 胡志明市
ADJ 安曼
AMM 安曼
AQJ 阿圭巴
ABZ 阿伯丁
BFS 贝尔法斯特
BHD 贝尔法斯特
BHX 伯明汉
BRR 巴拉群岛
BRS 布里斯托
CBG 剑桥
CWL 加地夫
DND 邓迪
EDI 爱丁堡
EXT 埃克塞特尼
FIE 费尔岛
GLA 格拉斯哥
ILY 艾莱
INV 因弗内斯
IOM 马恩岛
JER 泽西
KOI 柯克沃尔
LCY 伦敦
LDY 伦敦德里
LGW 伦敦
